old_url,new_url,id,date
/posts/5278,/archive/2017/06a#post-156760,156760,2017-06-03 21:26:43 UTC
/posts/5281,/archive/2017/06a#post-156761,156761,2017-06-04 00:04:27 UTC
/posts/5240,/archive/2017/06a#post-156762,156762,2017-06-01 20:14:22 UTC
/posts/5285,/archive/2017/06a#post-156763,156763,2017-06-05 12:56:03 UTC
/posts/5308,/archive/2017/06a#post-156764,156764,2017-06-08 19:30:24 UTC
/posts/5241,/archive/2017/06a#post-156765,156765,2017-06-01 21:24:06 UTC
/posts/5250,/archive/2017/06a#post-156766,156766,2017-06-01 23:10:32 UTC
/posts/5239,/archive/2017/06a#post-156767,156767,2017-06-01 19:11:43 UTC
/posts/5291,/archive/2017/06a#post-156768,156768,2017-06-06 19:45:24 UTC
/posts/5303,/archive/2017/06a#post-156769,156769,2017-06-08 06:42:27 UTC
/posts/5283,/archive/2017/06a#post-156770,156770,2017-06-04 22:26:57 UTC
/posts/5286,/archive/2017/06a#post-156771,156771,2017-06-05 16:45:46 UTC
/posts/5238,/archive/2017/06a#post-156772,156772,2017-06-01 19:06:03 UTC
/posts/5259,/archive/2017/06a#post-156773,156773,2017-06-02 15:19:38 UTC
/posts/5269,/archive/2017/06a#post-156774,156774,2017-06-02 21:48:01 UTC
/posts/5247,/archive/2017/06a#post-156775,156775,2017-06-01 21:53:55 UTC
/posts/5249,/archive/2017/06a#post-156776,156776,2017-06-01 22:05:59 UTC
/posts/5237,/archive/2017/06a#post-156777,156777,2017-06-01 18:53:35 UTC
/posts/5296,/archive/2017/06a#post-156778,156778,2017-06-07 07:43:31 UTC
/posts/5297,/archive/2017/06a#post-156779,156779,2017-06-07 16:10:45 UTC
/posts/5301,/archive/2017/06a#post-156780,156780,2017-06-08 05:06:51 UTC
/posts/5290,/archive/2017/06a#post-156781,156781,2017-06-06 17:54:12 UTC
/posts/5292,/archive/2017/06a#post-156782,156782,2017-06-07 01:54:34 UTC
/posts/5299,/archive/2017/06a#post-156783,156783,2017-06-07 23:12:30 UTC
/posts/5254,/archive/2017/06a#post-156784,156784,2017-06-02 09:13:00 UTC
/posts/5256,/archive/2017/06a#post-156785,156785,2017-06-02 14:07:59 UTC
/posts/5246,/archive/2017/06a#post-156786,156786,2017-06-01 21:51:57 UTC
/posts/5252,/archive/2017/06a#post-156787,156787,2017-06-02 03:56:43 UTC
/posts/5289,/archive/2017/06a#post-156788,156788,2017-06-06 17:08:12 UTC
/posts/5293,/archive/2017/06a#post-156789,156789,2017-06-07 02:14:22 UTC
/posts/5298,/archive/2017/06a#post-156790,156790,2017-06-07 22:30:04 UTC
/posts/5236,/archive/2017/06a#post-156791,156791,2017-06-01 18:22:30 UTC
/posts/5324,/archive/2017/06a#post-156792,156792,2017-06-11 17:51:35 UTC
/posts/5328,/archive/2017/06a#post-156793,156793,2017-06-12 17:55:59 UTC
/posts/5245,/archive/2017/06a#post-156794,156794,2017-06-01 21:49:35 UTC
/posts/5257,/archive/2017/06a#post-156795,156795,2017-06-02 14:26:17 UTC
/posts/5243,/archive/2017/06a#post-156796,156796,2017-06-01 21:29:13 UTC
/posts/5235,/archive/2017/06a#post-156797,156797,2017-06-01 17:36:59 UTC
/posts/5325,/archive/2017/06a#post-156798,156798,2017-06-12 12:35:16 UTC
/posts/5327,/archive/2017/06a#post-156799,156799,2017-06-12 12:42:59 UTC
/posts/5311,/archive/2017/06a#post-156800,156800,2017-06-08 20:42:12 UTC
/posts/5312,/archive/2017/06a#post-156801,156801,2017-06-08 20:57:44 UTC
/posts/5314,/archive/2017/06a#post-156802,156802,2017-06-09 05:39:26 UTC
/posts/5315,/archive/2017/06a#post-156803,156803,2017-06-09 18:54:57 UTC
